brand|model|name|price_from|credit_month|benefit|engine|transmission|drive|in_stock|url
Dongfeng|Aeolus Shine Max|Dongfeng Aeolus Shine Max|1804000|24613|395000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/dongfeng/aeolus-shine-max
Dongfeng|DF6|Dongfeng DF6|2024000|27615|625000|2.3-2.5 л|5MT, 6MT, 8AT|Полный|1|https://skayavto.ru/catalog/dongfeng/df6
Dongfeng|DFSK ix7|DongFeng DFSK ix7|2405000|32813|585000|2 л|6AT|Полный|1|https://skayavto.ru/catalog/dongfeng/dfsk-ix7
Dongfeng|MAGE|Dongfeng MAGE|2524000|34437|375000|1.5 л|DCT|Передний|1|https://skayavto.ru/catalog/dongfeng/mage
Dongfeng|Shine Max|Dongfeng Shine Max|2645000|36088|345000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/dongfeng/shine-max
Dongfeng|Aeolus Huge|Dongfeng Aeolus Huge|2755000|37589|284000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/dongfeng/aeolus-huge
EONYX|City (M2)|Eonyx City (M2)|471000|6426|75000|0 л|AT|Задний|1|https://skayavto.ru/catalog/eonyx/eonyx-city-m2
Evolute|i-PRO|Evolute i-PRO|1584000|21612|906000|0 л|AT|Передний|1|https://skayavto.ru/catalog/evolute/i-pro
Evolute|i-Joy|Evolute i-Joy|1875000|25582|900000|0 л|AT|Передний|1|https://skayavto.ru/catalog/evolute/i-joy
Evolute|i-Sky City Edition|Evolute i-Sky City Edition|2115000|28857|1100000|0 л|AT|Передний|1|https://skayavto.ru/catalog/evolute/i-sky-city-edition
Evolute|i-Space|Evolute i-Space|2324000|31708|175000|1.5 л|CVT|Передний|1|https://skayavto.ru/catalog/evolute/i-space
Evolute|i-Space|Evolute i-Space|2375000|32404|1040000|1.5 л|CVT|Передний, Полный|1|https://skayavto.ru/catalog/evolute/i-space-new
Evolute|i-Van|Evolute i-Van|2890000|39431|1030000|0 л|AT|Задний|1|https://skayavto.ru/catalog/evolute/i-van
Evolute|i-Sky|Evolute i-Sky|3105000|42364|815000|0 л|AT|Передний|1|https://skayavto.ru/catalog/evolute/i-sky
Exlantix|ES|Exlantix ES|5805000|79202|365000|1.5 л|AT|Полный|1|https://skayavto.ru/catalog/exlanix/es
Exlantix|ET|Exlantix ET|6325000|86297|665000|1.5 л|AT|Полный|1|https://skayavto.ru/catalog/exlanix/et
Faw|Besturn X40|Faw Besturn X40|1442000|19674|458000|1.6 л|5 MT, 6 AT|Передний|1|https://skayavto.ru/catalog/faw/besturn-x40
Faw|Besturn X80|Faw Besturn X80|1498000|20438|681000|2 л|6 AT, 6 MT|Передний|1|https://skayavto.ru/catalog/faw/besturn-x80
Faw|Bestune T55|FAW Bestune T55|1666000|22731|745000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/faw/bestune-t55
Faw|Bestune T77|Faw Bestune T77|1885000|25719|139000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/faw/bestune-t77
Faw|Bestune B70|FAW Bestune B70|1999000|27274|375000|1.5-2 л|6AT, 7DCT|Передний|1|https://skayavto.ru/catalog/faw/bestune-b70
Faw|Bestune T90|FAW Bestune T90|2225000|30357|554000|1.5-2 л|AT, DCT|Передний|1|https://skayavto.ru/catalog/faw/bestune-t90
Faw|Bestune B70 new|FAW Bestune B70 new|2284990|31176|215000|1.5-2 л|AT, DCT|Передний, Полный|1|https://skayavto.ru/catalog/faw/bestune-b70-new
Faw|Bestune T99|FAW Bestune T99|2743000|37425|330000|2 л|6AT|Передний|1|https://skayavto.ru/catalog/faw/bestune-t99
Faw|Bestune M9|Faw Bestune M9|3225000|44001|695000|2 л|8AT|Передний|1|https://skayavto.ru/catalog/faw/bestune
Ford|Fiesta Хэтчбек|Ford Fiesta Хэтчбек|747500|10199|390000|1.6 л|5 MT, 6 AT|Передний|1|https://skayavto.ru/catalog/ford/fiesta-hatchback
Ford|Fiesta Седан|Ford Fiesta Седан|760500|10376|390000|1.6 л|5 MT, 6 AT|Передний|1|https://skayavto.ru/catalog/ford/fiesta
Ford|Focus Хэтчбек|Ford Focus Хэтчбек|932900|12728|410000|1.5-1.6 л|5 MT, 6 AT|Передний|1|https://skayavto.ru/catalog/ford/focus-hatchback
Ford|Focus Седан|Ford Focus Седан|945900|12906|410000|1.5-1.6 л|5 MT, 6 AT|Передний|1|https://skayavto.ru/catalog/ford/focus-sedan
Ford|Focus Универсал|Ford Focus Универсал|1036900|14147|410000|1.5-1.6 л|5 MT, 6 AT|Передний|1|https://skayavto.ru/catalog/ford/focus-universal
Ford|EcoSport|Ford EcoSport|1040900|14202|410000|1.5-2 л|5 MT, 6 AT, 6AT|Передний, Полный|1|https://skayavto.ru/catalog/ford/ecosport
Ford|Mondeo|Ford Mondeo|1660600|22657|435000|2-2.5 л|6 AT|Передний|1|https://skayavto.ru/catalog/ford/mondeo
Ford|Kuga|Ford Kuga|1733500|23652|435000|1.5-2.5 л|6 AT|Передний, Полный|1|https://skayavto.ru/catalog/ford/kuga
Ford|Explorer|Ford Explorer|3308000|45134|605000|3.5 л|6 AT|Полный|1|https://skayavto.ru/catalog/ford/explorer
Ford|Tourneo Custom рестайлинг|Ford Tourneo Custom рестайлинг|6825000|93119|75000|2 л|AT|Передний|1|https://skayavto.ru/catalog/ford/tourneo-custom-restyling
Forthing|T5 HEV|Forthing T5 HEV|2110000|28788|490000|1.5 л|DCT|Передний|1|https://skayavto.ru/catalog/forthing/t5-hev
Forthing|forthing|Forthing|2220000|30289|380000|1.5 л|7DCT, DHT|Передний|1|https://skayavto.ru/catalog/forthing/forthing
Forthing|Yacht|Forthing Yacht|3660000|49936|530000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/forthing/yacht
Forthing|M7|Forthing M7|4920000|67128|580000|2 л|8AT|Задний|1|https://skayavto.ru/catalog/forthing/m7
Foton|Sauvana|Foton Sauvana|1696900|23152|435000|2 л|5 MT, 6 AT|Полный|1|https://skayavto.ru/catalog/foton/sauvana
